FDC_ID,Item,Category,Calorias_kcal,Proteinas_g,Carbohidratos_g,GrasaTotal_g,Colesterol_mg,Fibra_g,Agua_g,Alcohol_g,VitaminaC_mg
168421,"Kale, raw",Vegetables and Vegetable Products,35.0,2.92,4.42,1.49,0.0,4.1,89.63,0.0,93.4
168422,"Mushrooms, Chanterelle, raw",Vegetables and Vegetable Products,32.0,1.49,6.86,0.53,,3.8,89.85,,
168423,"Mushrooms, morel, raw",Vegetables and Vegetable Products,31.0,3.12,5.1,0.57,,2.8,89.61,,
168424,"Kohlrabi, raw",Vegetables and Vegetable Products,27.0,1.7,6.2,0.1,0.0,3.6,91.0,0.0,62.0
168425,"Kohlrabi, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,29.0,1.8,6.69,0.11,0.0,1.1,90.3,0.0,54.0
168426,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",Vegetables and Vegetable Products,31.0,0.81,7.62,0.2,0.0,1.0,90.8,,4.2
168427,"Lentils, sprouted, raw",Vegetables and Vegetable Products,106.0,8.96,22.14,0.55,0.0,,67.34,,16.5
168428,"Lentils, sprouted, cooked, stir-fried, without salt",Vegetables and Vegetable Products,101.0,8.8,21.25,0.45,0.0,,68.7,,12.6
168429,"Lettuce, butterhead (includes boston and bibb types), raw",Vegetables and Vegetable Products,13.0,1.35,2.23,0.22,0.0,1.1,95.63,0.0,3.7
168430,"Lotus root, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,66.0,1.58,16.02,0.07,0.0,3.1,81.42,0.0,27.4
168431,"Lettuce, red leaf, raw",Vegetables and Vegetable Products,13.0,1.33,2.26,0.22,0.0,0.9,95.64,0.0,3.7
168432,"Mountain yam, hawaii, raw",Vegetables and Vegetable Products,67.0,1.34,16.3,0.1,0.0,2.5,81.44,0.0,2.6
168433,"Mountain yam, hawaii, cooked, steamed, without salt",Vegetables and Vegetable Products,82.0,1.73,20.0,0.08,0.0,,77.14,,0.0
168434,"Mushrooms, brown, italian, or crimini, raw",Vegetables and Vegetable Products,22.0,2.5,4.3,0.1,0.0,0.6,92.12,,0.0
168435,"Mushrooms, shiitake, stir-fried",Vegetables and Vegetable Products,39.0,3.45,7.68,0.35,0.0,3.6,87.74,0.0,0.0
168436,"Mushrooms, shiitake, dried",Vegetables and Vegetable Products,296.0,9.58,75.37,0.99,0.0,11.5,9.5,0.0,3.5
168437,"Mushrooms, shiitake, cooked, without salt",Vegetables and Vegetable Products,56.0,1.56,14.39,0.22,0.0,2.1,83.48,0.0,0.3
168438,"Mustard spinach, (tendergreen), raw",Vegetables and Vegetable Products,22.0,2.2,3.9,0.3,0.0,2.8,92.2,0.0,130.0
168439,"Mustard spinach, (tendergreen), cooked, boiled, drained, without salt",Vegetables and Vegetable Products,16.0,1.7,2.8,0.2,0.0,2.0,94.5,,65.0
168440,"New Zealand spinach, raw",Vegetables and Vegetable Products,14.0,1.5,2.5,0.2,0.0,1.5,94.0,0.0,30.0
168441,"New Zealand spinach, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,12.0,1.3,2.13,0.17,0.0,1.4,94.8,0.0,16.0
168442,"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",Vegetables and Vegetable Products,147.0,2.24,24.81,4.66,0.0,1.9,66.61,0.0,17.3
168443,"Potato wedges, frozen (Includes foods for USDA's Food Distribution Program)",Vegetables and Vegetable Products,129.0,2.7,25.46,2.2,0.0,2.0,68.3,,11.2
168444,"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",Vegetables and Vegetable Products,130.0,2.19,23.51,3.39,0.0,1.9,69.29,0.0,18.4
168445,"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",Vegetables and Vegetable Products,148.0,2.57,26.98,3.76,0.0,2.6,64.85,0.0,14.0
168446,Potato flour,Vegetables and Vegetable Products,357.0,6.9,83.1,0.34,0.0,5.9,6.52,0.0,3.8
168447,"Pumpkin leaves, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,21.0,2.72,3.39,0.22,0.0,2.7,92.51,0.0,1.0
168448,"Pumpkin, raw",Vegetables and Vegetable Products,26.0,1.0,6.5,0.1,0.0,0.5,91.6,0.0,9.0
168449,"Pumpkin, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,20.0,0.72,4.9,0.07,0.0,1.1,93.69,0.0,4.7
168450,"Pumpkin, canned, without salt",Vegetables and Vegetable Products,34.0,1.1,8.09,0.28,0.0,2.9,89.97,0.0,4.2
168451,"Radishes, oriental, raw",Vegetables and Vegetable Products,18.0,0.6,4.1,0.1,0.0,1.6,94.62,0.0,22.0
168452,"Radishes, oriental, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,17.0,0.67,3.43,0.24,0.0,1.6,95.04,0.0,15.1
168453,"Radishes, oriental, dried",Vegetables and Vegetable Products,271.0,7.9,63.37,0.72,0.0,23.9,19.68,0.0,0.0
168454,"Rutabagas, raw",Vegetables and Vegetable Products,37.0,1.08,8.62,0.16,0.0,2.3,89.43,0.0,25.0
168455,"Rutabagas, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,30.0,0.93,6.84,0.18,0.0,1.8,91.54,0.0,18.8
168456,"Seaweed, irishmoss, raw",Vegetables and Vegetable Products,49.0,1.51,12.29,0.16,0.0,1.3,81.34,0.0,3.0
168457,"Seaweed, kelp, raw",Vegetables and Vegetable Products,43.0,1.68,9.57,0.56,0.0,1.3,81.58,0.0,3.0
168458,"Seaweed, laver, raw",Vegetables and Vegetable Products,35.0,5.81,5.11,0.28,0.0,0.3,85.03,0.0,39.0
168459,"Sesbania flower, raw",Vegetables and Vegetable Products,27.0,1.28,6.73,0.04,0.0,,91.58,,73.0
168460,"Soybeans, mature seeds, sprouted, cooked, steamed",Vegetables and Vegetable Products,81.0,8.47,6.53,4.45,0.0,0.8,79.45,0.0,8.3
168461,"Soybeans, mature seeds, sprouted, cooked, stir-fried",Vegetables and Vegetable Products,125.0,13.1,9.4,7.1,0.0,0.8,67.2,,12.0
168462,"Spinach, raw",Vegetables and Vegetable Products,23.0,2.86,3.63,0.39,0.0,2.2,91.4,0.0,28.1
168463,"Spinach, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,23.0,2.97,3.75,0.26,0.0,2.4,91.21,0.0,9.8
168464,"Squash, summer, crookneck and straightneck, raw",Vegetables and Vegetable Products,19.0,1.01,3.88,0.27,0.0,1.0,94.28,0.0,19.3
168465,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,19.0,1.04,3.79,0.39,0.0,1.1,94.25,0.0,11.6
168466,"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",Vegetables and Vegetable Products,13.0,0.61,2.96,0.07,0.0,1.4,96.04,0.0,2.7
168467,"Squash, summer, crookneck and straightneck, frozen, unprepared",Vegetables and Vegetable Products,20.0,0.83,4.8,0.14,0.0,1.2,93.66,0.0,6.4
168468,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,25.0,1.28,5.54,0.2,0.0,1.4,92.24,0.0,6.8
168469,"Squash, summer, zucchini, includes skin, frozen, unprepared",Vegetables and Vegetable Products,17.0,1.16,3.58,0.13,0.0,1.3,94.7,0.0,5.3
168470,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,17.0,1.15,3.56,0.13,0.0,1.3,94.74,0.0,3.7
168471,"Squash, summer, zucchini, italian style, canned",Vegetables and Vegetable Products,29.0,1.03,6.85,0.11,0.0,,90.61,,2.3
168472,"Squash, winter, acorn, raw",Vegetables and Vegetable Products,40.0,0.8,10.42,0.1,0.0,1.5,87.78,,11.0
168473,"Squash, winter, butternut, frozen, unprepared",Vegetables and Vegetable Products,57.0,1.76,14.41,0.1,0.0,1.3,82.5,0.0,6.2
168474,"Squash, winter, butternut, frozen, cooked, boiled, without salt",Vegetables and Vegetable Products,39.0,1.23,10.05,0.07,0.0,,87.8,,3.5
168475,"Squash, winter, hubbard, raw",Vegetables and Vegetable Products,40.0,2.0,8.7,0.5,0.0,3.9,88.0,0.0,11.0
168476,"Squash, winter, hubbard, baked, without salt",Vegetables and Vegetable Products,50.0,2.48,10.81,0.62,0.0,4.9,85.1,0.0,9.5
168477,"Succotash, (corn and limas), cooked, boiled, drained, without salt",Vegetables and Vegetable Products,115.0,5.07,24.38,0.8,0.0,4.5,68.37,,8.2
168478,"Succotash, (corn and limas), canned, with cream style corn",Vegetables and Vegetable Products,77.0,2.64,17.61,0.54,0.0,3.0,78.17,,6.4
168479,"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids",Vegetables and Vegetable Products,63.0,2.6,13.98,0.49,0.0,2.6,81.96,0.0,4.6
168480,"Succotash, (corn and limas), frozen, unprepared",Vegetables and Vegetable Products,93.0,4.31,19.94,0.89,0.0,4.0,74.11,,8.5
168481,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,93.0,4.31,19.95,0.89,0.0,4.1,74.1,0.0,5.9
168482,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",Vegetables and Vegetable Products,86.0,1.57,20.12,0.05,0.0,3.0,77.28,0.0,2.4
168483,"Sweet potato, cooked, baked in skin, flesh, without salt",Vegetables and Vegetable Products,90.0,2.01,20.71,0.15,0.0,3.3,75.78,0.0,19.6
168484,"Sweet potato, cooked, boiled, without skin",Vegetables and Vegetable Products,76.0,1.37,17.72,0.14,0.0,2.5,80.13,0.0,12.8
168485,"Sweet potato, canned, vacuum pack",Vegetables and Vegetable Products,91.0,1.65,21.12,0.2,0.0,1.8,76.03,0.0,26.4
168486,"Taro, cooked, without salt",Vegetables and Vegetable Products,142.0,0.52,34.6,0.11,0.0,5.1,63.8,0.0,5.0
168487,"Taro leaves, raw",Vegetables and Vegetable Products,42.0,4.98,6.7,0.74,0.0,3.7,85.66,0.0,52.0
168488,"Taro leaves, cooked, steamed, without salt",Vegetables and Vegetable Products,24.0,2.72,4.02,0.41,0.0,2.0,92.15,,35.5
168489,"Taro shoots, raw",Vegetables and Vegetable Products,11.0,0.92,2.32,0.09,0.0,,95.82,,21.0
168490,"Arrowroot, raw",Vegetables and Vegetable Products,65.0,4.24,13.39,0.2,0.0,1.3,80.75,,1.9
168491,"Chrysanthemum leaves, raw",Vegetables and Vegetable Products,24.0,3.36,3.01,0.56,0.0,3.0,91.4,,1.4
168492,"Amaranth leaves, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,21.0,2.11,4.11,0.18,0.0,,91.49,,41.1
168493,"Arrowhead, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,78.0,4.49,16.14,0.1,0.0,,77.08,,0.3
168494,"Asparagus, frozen, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,18.0,2.95,1.92,0.42,0.0,1.6,94.1,,24.4
168495,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,32.0,3.6,6.16,0.2,0.0,1.9,88.69,,55.6
168496,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,19.0,0.84,4.32,0.18,0.0,2.0,93.95,,33.0
168497,"Bamboo shoots, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,11.0,1.53,1.52,0.22,0.0,1.0,95.92,,0.0
168498,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,103.0,6.07,19.32,0.34,0.0,5.3,72.98,,12.8
168499,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,19.0,2.03,3.6,0.09,0.0,0.8,93.39,0.0,11.4
168500,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,78.0,7.07,15.01,0.81,0.0,,76.02,,17.3
168501,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,162.0,9.31,30.87,0.48,0.0,5.4,58.01,,0.7
168502,"Beans, snap, green, canned, no salt added, solids and liquids",Vegetables and Vegetable Products,15.0,0.8,3.5,0.1,0.0,1.5,94.68,0.0,3.4
168503,"Beans, snap, yellow, canned, regular pack, solids and liquids",Vegetables and Vegetable Products,15.0,0.8,3.5,0.1,0.0,1.5,94.68,0.0,3.4
168504,"Beans, snap, yellow, canned, no salt added, solids and liquids",Vegetables and Vegetable Products,15.0,0.8,3.5,0.1,0.0,1.5,94.68,0.0,4.0
168505,"Beans, snap, green, canned, no salt added, drained solids",Vegetables and Vegetable Products,22.0,1.12,4.32,0.46,0.0,1.9,93.38,0.0,2.8
168506,"Beets, cooked, boiled. drained, with salt",Vegetables and Vegetable Products,44.0,1.68,9.96,0.18,0.0,2.0,87.06,,3.6
168507,"Beets, canned, no salt added, solids and liquids",Vegetables and Vegetable Products,28.0,0.8,6.57,0.07,0.0,1.2,91.62,0.0,2.8
168508,"Beet greens, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,27.0,2.57,5.46,0.2,0.0,2.9,89.13,,24.9
168509,"Borage, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,25.0,2.09,3.55,0.81,0.0,,91.88,,32.5
168510,"Broccoli, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,35.0,2.38,7.18,0.41,0.0,3.3,89.25,,64.9
168511,"Broccoli, frozen, chopped, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,28.0,3.1,5.35,0.12,0.0,3.0,90.72,,40.1
168512,"Broccoli, frozen, spears, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,28.0,3.1,5.35,0.11,0.0,3.0,90.72,,40.1
168513,"Brussels sprouts, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,36.0,2.55,7.1,0.5,0.0,2.6,88.9,0.0,62.0
168514,"Cabbage, common, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,23.0,1.27,5.51,0.06,0.0,1.9,92.57,,37.5
168515,"Cabbage, red, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,29.0,1.51,6.94,0.09,0.0,2.6,90.84,0.0,10.8
168516,"Cabbage, savoy, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,24.0,1.8,5.41,0.09,0.0,2.8,92.0,,17.0
168517,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",Vegetables and Vegetable Products,12.0,1.56,1.78,0.16,0.0,1.0,95.55,,26.0
168518,"Carrots, canned, no salt added, drained solids",Vegetables and Vegetable Products,25.0,0.64,5.54,0.19,0.0,1.5,92.95,,2.7
168519,"Carrots, frozen, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,37.0,0.58,7.73,0.68,0.0,3.3,90.32,,2.3
168520,"Cauliflower, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,23.0,1.84,4.11,0.45,0.0,2.3,93.0,,44.3
168521,"Cauliflower, frozen, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,17.0,1.61,3.16,0.22,0.0,2.7,94.0,,31.3
168522,"Chrysanthemum, garland, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,20.0,1.64,4.31,0.09,0.0,2.3,92.49,,23.9
168523,"Collards, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,33.0,2.71,5.65,0.72,0.0,4.0,90.18,0.0,18.2
168524,"Collards, frozen, chopped, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,36.0,2.97,7.1,0.41,0.0,2.8,88.47,,26.4
168525,"Corn, sweet, yellow, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,96.0,3.41,20.98,1.5,0.0,2.4,73.41,0.0,5.5
168526,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,94.0,3.17,19.73,0.38,0.0,5.0,75.48,,2.2
168527,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,131.0,8.49,23.5,0.66,0.0,6.4,66.1,,2.6
168528,"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,34.0,2.6,7.0,0.3,0.0,,89.5,,17.0
168529,"Cowpeas, leafy tips, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,22.0,4.67,2.8,0.1,0.0,,91.3,,18.4
168530,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt",Vegetables and Vegetable Products,54.0,0.66,13.75,0.34,0.0,2.9,84.29,0.0,5.7
168531,"Drumstick leaves, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,60.0,5.27,11.15,0.93,0.0,2.0,81.65,0.0,31.0
168532,"Drumstick pods, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,36.0,2.09,8.18,0.19,0.0,4.2,88.42,,97.0
168533,"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,50.0,2.95,9.2,0.27,0.0,,86.9,,5.1
168534,"Lambsquarters, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,32.0,3.2,5.0,0.7,0.0,2.1,88.9,0.0,37.0
168535,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",Vegetables and Vegetable Products,31.0,0.81,7.62,0.2,0.0,1.0,90.8,,4.2
168536,"Lotus root, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,66.0,1.58,16.02,0.07,0.0,3.1,81.42,,27.4
168537,"Mushrooms, white, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,28.0,2.17,5.29,0.47,0.0,2.2,91.08,,4.0
168538,"Corn, sweet, white, raw",Vegetables and Vegetable Products,86.0,3.22,19.02,1.18,0.0,2.7,75.96,0.0,6.8
168539,"Corn, sweet, white, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,97.0,3.34,21.71,1.41,0.0,2.7,72.84,0.0,6.2
168540,"Corn, sweet, white, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,97.0,3.34,21.71,1.41,0.0,2.7,72.84,0.0,6.2
168541,"Corn, sweet, white, canned, whole kernel, regular pack, solids and liquids",Vegetables and Vegetable Products,64.0,1.95,15.41,0.5,0.0,1.7,81.34,,5.5
168542,"Corn, sweet, white, canned, vacuum pack, regular pack",Vegetables and Vegetable Products,79.0,2.41,19.44,0.5,0.0,2.0,76.58,,8.1
168543,"Corn, sweet, white, canned, vacuum pack, no salt added",Vegetables and Vegetable Products,79.0,2.41,19.44,0.5,0.0,2.0,76.58,0.0,8.1
168544,"Corn, sweet, white, frozen, kernels cut off cob, unprepared",Vegetables and Vegetable Products,88.0,3.02,20.73,0.77,0.0,2.9,75.0,0.0,6.3
168545,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",Vegetables and Vegetable Products,80.0,2.75,19.56,0.43,0.0,2.4,76.73,0.0,3.1
168546,"Peppers, sweet, red, canned, solids and liquids",Vegetables and Vegetable Products,18.0,0.8,3.9,0.3,0.0,1.2,91.25,,46.5
168547,"Peppers, sweet, red, frozen, chopped, unprepared",Vegetables and Vegetable Products,20.0,1.08,4.45,0.21,0.0,1.6,93.96,0.0,58.7
168548,"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",Vegetables and Vegetable Products,16.0,0.95,3.31,0.18,0.0,0.8,94.7,0.0,41.2
168549,"Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",Vegetables and Vegetable Products,16.0,0.95,3.31,0.18,0.0,0.8,94.7,0.0,41.2
168550,"Peppers, sweet, red, sauteed",Vegetables and Vegetable Products,133.0,1.04,6.57,12.75,0.0,1.8,78.95,0.0,162.8
168551,"Lentils, sprouted, cooked, stir-fried, with salt",Vegetables and Vegetable Products,101.0,8.8,21.25,0.45,0.0,,68.7,,12.6
168552,"Mountain yam, hawaii, cooked, steamed, with salt",Vegetables and Vegetable Products,82.0,1.73,19.99,0.08,0.0,,77.14,,0.0
168553,"Tree fern, cooked, with salt",Vegetables and Vegetable Products,40.0,0.29,10.78,0.07,0.0,3.7,88.6,,30.0
168554,"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",Vegetables and Vegetable Products,108.0,2.05,14.4,4.93,3.0,2.2,77.48,,6.0
168555,"Potatoes, mashed, home-prepared, whole milk and butter added",Vegetables and Vegetable Products,113.0,1.86,16.81,4.22,11.0,1.5,75.61,0.0,6.0
168556,Catsup,Vegetables and Vegetable Products,101.0,1.04,27.4,0.1,0.0,0.3,68.51,0.0,4.1
168557,"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",Vegetables and Vegetable Products,22.0,2.5,4.3,0.1,0.0,0.6,92.12,0.0,0.0
168558,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,12.0,0.5,2.41,0.3,0.0,1.0,94.34,0.0,2.3
168559,"Pimento, canned",Vegetables and Vegetable Products,23.0,1.1,5.1,0.3,0.0,1.9,93.1,0.0,84.9
168560,"Pickle relish, hot dog",Vegetables and Vegetable Products,91.0,1.5,23.35,0.46,0.0,1.5,71.65,,1.0
168561,"Pickle relish, sweet",Vegetables and Vegetable Products,130.0,0.37,35.06,0.47,0.0,1.1,62.07,0.0,1.0
168562,"Pickles, cucumber, sour, low sodium",Vegetables and Vegetable Products,11.0,0.33,2.26,0.2,0.0,1.2,94.08,0.0,1.0
168563,"Pickles, cucumber, dill, reduced sodium",Vegetables and Vegetable Products,12.0,0.5,2.41,0.3,0.0,1.0,94.34,0.0,2.3
168564,"Radicchio, raw",Vegetables and Vegetable Products,23.0,1.43,4.48,0.25,0.0,0.9,93.14,0.0,8.0
168565,"Squash, zucchini, baby, raw",Vegetables and Vegetable Products,21.0,2.71,3.11,0.4,0.0,1.1,92.73,,34.1
168566,"Tomatillos, raw",Vegetables and Vegetable Products,32.0,0.96,5.84,1.02,0.0,1.9,91.63,0.0,11.7
168567,"Tomatoes, sun-dried",Vegetables and Vegetable Products,258.0,14.11,55.76,2.97,0.0,12.3,14.56,0.0,39.2
168568,"Carrots, baby, raw",Vegetables and Vegetable Products,35.0,0.64,8.24,0.13,0.0,2.9,90.35,,2.6
168569,"Hearts of palm, canned",Vegetables and Vegetable Products,28.0,2.52,4.62,0.62,0.0,2.4,90.2,,7.9
168570,"Peppers, hot chile, sun-dried",Vegetables and Vegetable Products,324.0,10.58,69.86,5.81,0.0,28.7,7.15,0.0,31.4
168571,"Nopales, raw",Vegetables and Vegetable Products,16.0,1.32,3.33,0.09,0.0,2.2,94.12,0.0,9.3
168572,"Cabbage, napa, cooked",Vegetables and Vegetable Products,12.0,1.1,2.23,0.17,0.0,,96.33,0.0,3.2
168573,"Lemon grass (citronella), raw",Vegetables and Vegetable Products,99.0,1.82,25.31,0.49,0.0,,70.58,0.0,2.6
168574,"Beans, fava, in pod, raw",Vegetables and Vegetable Products,88.0,7.92,17.63,0.73,0.0,7.5,72.6,0.0,3.7
168575,"Grape leaves, raw",Vegetables and Vegetable Products,93.0,5.6,17.31,2.12,0.0,11.0,73.32,0.0,11.1
168576,"Peppers, jalapeno, raw",Vegetables and Vegetable Products,29.0,0.91,6.5,0.37,0.0,2.8,91.69,0.0,118.6
168577,"Peppers, chili, green, canned",Vegetables and Vegetable Products,21.0,0.72,4.6,0.27,0.0,1.7,93.25,0.0,34.2
168578,"Peppers, hungarian, raw",Vegetables and Vegetable Products,29.0,0.8,6.7,0.41,0.0,1.0,91.51,0.0,92.9
168579,"Peppers, pasilla, dried",Vegetables and Vegetable Products,345.0,12.35,51.13,15.85,0.0,26.8,14.84,0.0,6.4
168580,"Mushrooms, oyster, raw",Vegetables and Vegetable Products,33.0,3.31,6.09,0.41,0.0,2.3,89.18,0.0,0.0
168581,"Fungi, Cloud ears, dried",Vegetables and Vegetable Products,284.0,9.25,73.01,0.73,0.0,70.1,14.8,,0.0
168582,"Mushrooms, straw, canned, drained solids",Vegetables and Vegetable Products,32.0,3.83,4.64,0.68,0.0,2.5,89.88,,0.0
168583,"Wasabi, root, raw",Vegetables and Vegetable Products,109.0,4.8,23.54,0.63,0.0,7.8,69.11,,41.9
168584,"Fiddlehead ferns, frozen, unprepared",Vegetables and Vegetable Products,34.0,4.31,5.74,0.35,0.0,,88.91,,17.8
168945,"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared",Vegetables and Vegetable Products,81.0,2.04,17.98,0.07,0.0,2.0,78.34,,7.8
168946,"Potatoes, french fried, wedge cut, frozen, unprepared",Vegetables and Vegetable Products,162.0,2.56,22.22,7.47,0.0,2.4,66.06,,5.1
168947,"Potatoes, french fried, steak cut, salt not added in processing, frozen, unprepared",Vegetables and Vegetable Products,134.0,2.4,24.31,3.42,0.0,2.4,69.01,,6.9
168948,"Potatoes, french fried, cross cut, frozen, unprepared",Vegetables and Vegetable Products,187.0,2.7,22.95,10.0,0.0,2.3,62.36,,5.7
169074,"Tomato sauce, canned, no salt added",Vegetables and Vegetable Products,24.0,1.2,5.31,0.3,0.0,1.5,91.28,0.0,7.0
169084,"Potatoes, canned, drained solids, no salt added",Vegetables and Vegetable Products,60.0,1.4,13.6,0.2,0.0,2.4,84.3,0.0,5.1
169085,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",Vegetables and Vegetable Products,37.0,1.4,7.31,0.2,0.0,3.1,90.2,0.0,3.8
169135,"Lima beans, immature seeds, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,123.0,6.81,23.64,0.32,0.0,5.4,67.17,0.0,10.1
169136,"Lima beans, immature seeds, canned, regular pack, solids and liquids",Vegetables and Vegetable Products,71.0,4.07,13.33,0.29,0.0,3.6,81.17,0.0,7.3
169137,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,21.0,2.03,4.19,0.09,0.0,0.8,93.39,0.0,11.4
169138,"Mung beans, mature seeds, sprouted, cooked, stir-fried",Vegetables and Vegetable Products,50.0,4.3,10.59,0.21,0.0,1.9,84.3,,16.0
169139,"Beans, navy, mature seeds, sprouted, raw",Vegetables and Vegetable Products,67.0,6.15,13.05,0.7,0.0,,79.15,,18.8
169140,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,78.0,7.07,15.01,0.81,0.0,,76.02,,17.3
169141,"Beans, snap, green, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,35.0,1.89,7.88,0.28,0.0,3.2,89.22,0.0,9.7
169142,"Beans, snap, green, canned, regular pack, solids and liquids",Vegetables and Vegetable Products,15.0,0.72,3.27,0.17,0.0,1.5,95.06,0.0,2.2
169143,"Beans, snap, green, canned, regular pack, drained solids",Vegetables and Vegetable Products,21.0,1.05,4.19,0.41,0.0,1.9,93.52,0.0,2.8
169144,"Beans, snap, canned, all styles, seasoned, solids and liquids",Vegetables and Vegetable Products,16.0,0.83,3.49,0.2,0.0,1.5,94.3,,3.1
169145,"Beets, raw",Vegetables and Vegetable Products,43.0,1.61,9.56,0.17,0.0,2.8,87.58,0.0,4.9
169146,"Beets, cooked, boiled, drained",Vegetables and Vegetable Products,44.0,1.68,9.96,0.18,0.0,2.0,87.06,0.0,3.6
169147,"Beets, canned, regular pack, solids and liquids",Vegetables and Vegetable Products,30.0,0.73,7.14,0.09,0.0,1.2,91.3,0.0,2.8
169202,"Amaranth leaves, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,21.0,2.11,4.11,0.18,0.0,,91.49,,41.1
169203,"Arrowhead, raw",Vegetables and Vegetable Products,99.0,5.33,20.23,0.29,0.0,,72.48,,1.1
169204,"Arrowhead, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,78.0,4.49,16.14,0.1,0.0,,77.08,,0.3
169205,"Artichokes, (globe or french), raw",Vegetables and Vegetable Products,47.0,3.27,10.51,0.15,0.0,5.4,84.94,0.0,11.7
